No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
447,1881,August 29,Performance,Pilgrim’s Progress 1,Whitby,(PP f.2; RJ).,1881-08-29,1881-08-29,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.4866526,-0.6135315,town
448,1881,August 30,Performance,Pilgrim’s Progress 2,Whitby,RJ does not mention two performances in Whitby (PP f.2; RJ).,1881-08-30,1881-08-30,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.4866526,-0.6135315,town
449,1881,September 5,Performance,Pilgrim’s Progress 1,Scarborough,(PP f.2; RJ),1881-09-05,1881-09-05,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.2820009,-0.4011868,town
450,1881,September 6,Performance,Pilgrim’s Progress 2,Scarborough,RJ does not mention two performances in Scarborough (PP f.2; RJ).,1881-09-06,1881-09-06,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.2820009,-0.4011868,town
451,1881,September 8,Performance,Pilgrim’s Progress 1,Newcastle,(PP f.2; RJ).,1881-09-08,1881-09-08,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.9738474,-1.6131572,town
452,1881,September 9,Performance,Pilgrim’s Progress 2,Newcastle,RJ does not mention two performances in Newcastle (PP f.2; RJ).,1881-09-09,1881-09-09,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.9738474,-1.6131572,town
453,1881,September 15,Performance,Pilgrim’s Progress 1,Sunderland,"Victoria Hall; MacDonald as Evangelist (Sunderland Daily Echo and Shipping Gazette, September 16, 1881, 3: BNA; PP f.2; RJ).",1881-09-15,1881-09-15,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.9058512,-1.3828727,town
454,1881,September 16,Performance,Pilgrim’s Progress 2,Sunderland,"Victoria Hall; RJ does not mention two performances in Sunderland (Sunderland Daily Echo and Shipping Gazette, September 14, 1881, 2: BNA; PP f.2; RJ).",1881-09-16,1881-09-16,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.9058512,-1.3828727,town
455,1881,September 19,Performance,Pilgrim’s Progress 1,Liverpool,(PP f.2; RJ).,1881-09-19,1881-09-19,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",53.3933411,-2.9166389,town
456,1881,September 20,Performance,Pilgrim’s Progress 2,Liverpool,RJ does not mention two performances in Liverpool (PP f.2; RJ).,1881-09-20,1881-09-20,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.3933411,-2.9166389,town
457,1881,September 22,Performance,Pilgrim’s Progress 2,Mealsgate,"George Moore Memorial Hall (Wigton Advertiser, September 17, 1881, 1: BNA; PP f.2).",1881-09-22,1881-09-22,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.7671081,-3.2314565,town
458,1881,September 24,Performance,Pilgrim’s Progress 2,Eckington,"Assembly Rooms, Eckington Market Hall (Sheffield Daily Telegraph, September 26, 1881, 4: BNA; PP f.2; RJ).",1881-09-24,1881-09-24,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.3089836,-1.3557936,town
459,1881,September 27,Lecture,Tennyson,Huddersfield,"Highfield Lectures; “The Lyrics of Tennyson”; MacDonald described as “one of the greatest living thinkers” (Huddersfield Chronicle, September 10, 1881, 5: BNA).",1881-09-27,1881-09-27,,day,TRUE,,lecture,FALSE,FALSE,Tennyson,(unspecified),53.6466645,-1.7822482,town
460,1881,September 30,Performance,Pilgrim’s Progress 1,Hull,(PP f.2; RJ).,1881-09-30,1881-09-30,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",53.7435722,-0.3394758,town
461,1881,October 1,Performance,Pilgrim’s Progress 2,Hull,(PP f.2; RJ).,1881-10-01,1881-10-01,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",53.7435722,-0.3394758,town
